|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3865|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4206|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.6907|±  |0.0095|
|                                       |       |none  |     0|acc_norm|↑  |0.6507|±  |0.0098|
|boolq                                  |      2|none  |     0|acc     |↑  |0.7153|±  |0.0079|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5284|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7062|±  |0.0045|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2813|±  |0.0038|
| - humanities                          |      2|none  |      |acc     |↑  |0.2782|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.2698|±  |0.0397|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.3212|±  |0.0365|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2745|±  |0.0313|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.3122|±  |0.0302|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.4050|±  |0.0448|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2593|±  |0.0424|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.2699|±  |0.0349|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.2659|±  |0.0238|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2335|±  |0.0141|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.2990|±  |0.0260|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.3086|±  |0.0257|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2784|±  |0.0114|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2924|±  |0.0349|
| - other                               |      2|none  |      |acc     |↑  |0.2881|±  |0.0081|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2717|±  |0.0274|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.3006|±  |0.0350|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3700|±  |0.0485|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.2466|±  |0.0289|
|  - management                         |      1|none  |     0|acc     |↑  |0.2330|±  |0.0419|
|  - marketing                          |      1|none  |     0|acc     |↑  |0.2863|±  |0.0296|
|  - medical_genetics                   |      1|none  |     0|acc     |↑  |0.3200|±  |0.0469|
|  - miscellaneous                      |      1|none  |     0|acc     |↑  |0.3040|±  |0.0164|
|  - nutrition                          |      1|none  |     0|acc     |↑  |0.3203|±  |0.0267|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.2837|±  |0.0269|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.2353|±  |0.0258|
|  - virology                           |      1|none  |     0|acc     |↑  |0.2711|±  |0.0346|
| - social sciences                     |      2|none  |      |acc     |↑  |0.2801|±  |0.0081|
|  - econometrics                       |      1|none  |     0|acc     |↑  |0.2018|±  |0.0378|
|  - high_school_geography              |      1|none  |     0|acc     |↑  |0.2828|±  |0.0321|
|  - high_school_government_and_politics|      1|none  |     0|acc     |↑  |0.2332|±  |0.0305|
|  - high_school_macroeconomics         |      1|none  |     0|acc     |↑  |0.2744|±  |0.0226|
|  - high_school_microeconomics         |      1|none  |     0|acc     |↑  |0.2605|±  |0.0285|
|  - high_school_psychology             |      1|none  |     0|acc     |↑  |0.2881|±  |0.0194|
|  - human_sexuality                    |      1|none  |     0|acc     |↑  |0.2672|±  |0.0388|
|  - professional_psychology            |      1|none  |     0|acc     |↑  |0.2827|±  |0.0182|
|  - public_relations                   |      1|none  |     0|acc     |↑  |0.2364|±  |0.0407|
|  - security_studies                   |      1|none  |     0|acc     |↑  |0.3184|±  |0.0298|
|  - sociology                          |      1|none  |     0|acc     |↑  |0.3483|±  |0.0337|
|  - us_foreign_policy                  |      1|none  |     0|acc     |↑  |0.3000|±  |0.0461|
| - stem                                |      2|none  |      |acc     |↑  |0.2804|±  |0.0080|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.3300|±  |0.0473|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.3111|±  |0.0400|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.2829|±  |0.0367|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.2778|±  |0.0375|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.3000|±  |0.0461|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.2451|±  |0.0428|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.2600|±  |0.0441|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.2936|±  |0.0298|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.2345|±  |0.0353|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.2460|±  |0.0222|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.2677|±  |0.0252|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.3399|±  |0.0333|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.2519|±  |0.0265|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.3245|±  |0.0382|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.3009|±  |0.0313|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.2321|±  |0.0401|
|piqa                                   |      1|none  |     0|acc     |↑  |0.7595|±  |0.0100|
|                                       |       |none  |     0|acc_norm|↑  |0.7742|±  |0.0098|
|winogrande                             |      1|none  |     0|acc     |↑  |0.6717|±  |0.0132|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2813|±  |0.0038|
| - humanities     |      2|none  |      |acc   |↑  |0.2782|±  |0.0065|
| - other          |      2|none  |      |acc   |↑  |0.2881|±  |0.0081|
| - social sciences|      2|none  |      |acc   |↑  |0.2801|±  |0.0081|
| - stem           |      2|none  |      |acc   |↑  |0.2804|±  |0.0080|


1.0

|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3823|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4172|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.6932|±  |0.0095|
|                                       |       |none  |     0|acc_norm|↑  |0.6498|±  |0.0098|
|boolq                                  |      2|none  |     0|acc     |↑  |0.7104|±  |0.0079|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5290|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7072|±  |0.0045|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2803|±  |0.0038|
| - humanities                          |      2|none  |      |acc     |↑  |0.2808|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.2857|±  |0.0404|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.2970|±  |0.0357|
