|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3805|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4189|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.7033|±  |0.0094|
|                                       |       |none  |     0|acc_norm|↑  |0.6671|±  |0.0097|
|boolq                                  |      2|none  |     0|acc     |↑  |0.6838|±  |0.0081|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5269|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7065|±  |0.0045|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2686|±  |0.0037|
| - humanities                          |      2|none  |      |acc     |↑  |0.2721|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.2381|±  |0.0381|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.3030|±  |0.0359|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2892|±  |0.0318|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.2911|±  |0.0296|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3802|±  |0.0443|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2593|±  |0.0424|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.2822|±  |0.0354|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.2717|±  |0.0239|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2425|±  |0.0143|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.2765|±  |0.0254|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.3148|±  |0.0258|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2666|±  |0.0113|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2573|±  |0.0335|
| - other                               |      2|none  |      |acc     |↑  |0.2745|±  |0.0080|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2604|±  |0.0270|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.2312|±  |0.0321|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3700|±  |0.0485|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.3229|±  |0.0314|
