|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3805|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4181|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.6991|±  |0.0094|
|                                       |       |none  |     0|acc_norm|↑  |0.6570|±  |0.0097|
|boolq                                  |      2|none  |     0|acc     |↑  |0.6859|±  |0.0081|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5274|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7043|±  |0.0046|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2661|±  |0.0037|
| - humanities                          |      2|none  |      |acc     |↑  |0.2733|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.2540|±  |0.0389|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.2727|±  |0.0348|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2892|±  |0.0318|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.2996|±  |0.0298|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3636|±  |0.0439|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2500|±  |0.0419|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.3190|±  |0.0366|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.3006|±  |0.0247|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2436|±  |0.0144|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.2990|±  |0.0260|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.2963|±  |0.0254|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2568|±  |0.0112|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2982|±  |0.0351|
| - other                               |      2|none  |      |acc     |↑  |0.2665|±  |0.0079|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.2400|±  |0.0429|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2377|±  |0.0262|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.2254|±  |0.0319|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3400|±  |0.0476|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.2735|±  |0.0299|
