|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3840|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4147|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.7024|±  |0.0094|
|                                       |       |none  |     0|acc_norm|↑  |0.6591|±  |0.0097|
|boolq                                  |      2|none  |     0|acc     |↑  |0.6939|±  |0.0081|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5274|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7074|±  |0.0045|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2671|±  |0.0037|
| - humanities                          |      2|none  |      |acc     |↑  |0.2740|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.2143|±  |0.0367|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.2909|±  |0.0355|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2941|±  |0.0320|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.3207|±  |0.0304|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3884|±  |0.0445|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2778|±  |0.0433|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.2883|±  |0.0356|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.2659|±  |0.0238|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2469|±  |0.0144|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.3087|±  |0.0262|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.3056|±  |0.0256|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2634|±  |0.0112|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2456|±  |0.0330|
| - other                               |      2|none  |      |acc     |↑  |0.2762|±  |0.0080|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2717|±  |0.0274|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.2197|±  |0.0316|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3800|±  |0.0488|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.3318|±  |0.0316|
|  - management                         |      1|none  |     0|acc     |↑  |0.2621|±  |0.0435|
|  - marketing                          |      1|none  |     0|acc     |↑  |0.2650|±  |0.0289|
|  - medical_genetics                   |      1|none  |     0|acc     |↑  |0.2300|±  |0.0423|
|  - miscellaneous                      |      1|none  |     0|acc     |↑  |0.2976|±  |0.0163|
|  - nutrition                          |      1|none  |     0|acc     |↑  |0.2582|±  |0.0251|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.2730|±  |0.0266|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.1949|±  |0.0241|
